地点コード,地点,地点カナ,府県番号,区分,緯度_度,緯度_分,緯度,経度_度,経度_分,経度,標高,雨,風,気温,日照,積雪深,ed_y,ed_m,ed_d,観測終了日,備考1,備考2,備考3,備考4,備考5,観測所番号1,観測所番号2
47401,稚内,ワツカナイ,11,S,45,24.9,45.4150,141,40.7,141.6783,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11016,11903
0002,沓形,クツガタ,11,A,45,10.6,45.1767,141,8.3,141.1383,14,Y,Y,Y,Y,N,9999,99,99,,,,,,,11151,
0003,浜頓別,ハマトンベツ,11,A,45,7.5,45.1250,142,21,142.3500,18,Y,Y,Y,Y,N,9999,99,99,,,,,,,11206,
47402,北見枝幸,キタミエサシ,11,S,44,56.4,44.9400,142,35.1,142.5850,6.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11291,11917
0005,歌登,ウタノボリ,11,A,44,50.4,44.8400,142,28.8,142.4800,14,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11316,11920
1051,中頓別,ナカトンベツ,11,A,44,57.9,44.9650,142,16.8,142.2800,25,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11276,11915
1054,豊富,トヨトミ,11,A,45,6.4,45.1067,141,45.9,141.7650,16,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11176,11910
1203,沼川,ヌマカワ,11,A,45,14.9,45.2483,141,51.1,141.8517,23,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11121,11905
1207,船泊,フナドマリ,11,A,45,26.2,45.4367,141,2.1,141.0350,8,Y,Y,Y,Y,N,2003,10,16,2003/10/16,,,,,,,
1284,宗谷岬,ソウヤミサキ,11,A,45,31.2,45.5200,141,56.1,141.9350,26,Y,Y,Y,Y,N,9999,99,99,,,,,,,11001,
1285,浜鬼志別,ハマオニシベツ,11,A,45,20.1,45.3350,142,10.2,142.1700,13,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11076,11900
1512,本泊,モトドマリ,11,A,45,14.5,45.2417,141,11.2,141.1867,30,Y,Y,Y,N,N,9999,99,99,,2001年7月18日までの地点名「利尻」,,,,,11091,
1528,声問,コエトイ,11,A,45,24.2,45.4033,141,48,141.8000,8,Y,Y,Y,N,Y,9999,99,99,,,,,,,11061,11904
1546,礼文,レブン,11,A,45,18.3,45.3050,141,2.7,141.0450,65,Y,Y,Y,Y,N,9999,99,99,,,,,,,11046,
1593,幌泊,ホロドマリ,11,A,45,27.3,45.4550,141,2.3,141.0383,27,Y,Y,Y,N,N,2009,4,8,2009/4/8,2001年7月18日までの地点名「礼文」,,,,,,
1573,幌延,ホロノベ,11,A,45,0.4,45.0067,141,51.1,141.8517,5,Y,N,N,N,N,9999,99,99,,,,,,,13011,
0006,美深,ビフカ,12,A,44,28.8,44.4800,142,20.5,142.3417,77,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12141,12900
0007,ピヤシリ山,ピヤシリヤマ,12,A,44,26.1,44.4350,142,34.9,142.5817,980,Y,N,N,N,N,2005,9,26,2005/9/26,,,,,,,
0008,名寄,ナヨロ,12,A,44,22.2,44.3700,142,27.4,142.4567,89,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12181,12910
0009,西風連,ニシフウレン,12,A,44,17.7,44.2950,142,21.5,142.3583,128,Y,N,N,N,N,9999,99,99,,2000年11月30日までの地点名「雨竜」,,,,,12217,
0010,下川,シモカワ,12,A,44,18.1,44.3017,142,37.4,142.6233,140,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12231,12925
0011,士別,シベツ,12,A,44,11.2,44.1867,142,25,142.4167,135,Y,Y,Y,Y,N,9999,99,99,,,,,,,12261,
0012,犬牛別峠,イヌウシベツトウゲ,12,A,44,4.2,44.0700,142,16.2,142.2700,410,Y,N,N,N,N,2005,9,14,2005/9/14,,,,,,,
0013,雄鷹峰,オタカミネ,12,A,43,57.2,43.9533,142,19.2,142.3200,305,Y,N,N,N,N,2004,6,30,2004/6/30,,,,,,,
0014,蓬莱山,ホウライザン,12,A,43,54.8,43.9133,142,35,142.5833,320,Y,N,N,N,N,2004,6,30,2004/6/30,,,,,,,
0015,上川,カミカワ,12,A,43,50.8,43.8467,142,45.2,142.7533,324,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12411,12920
47407,旭川,アサヒカワ,12,S,43,45.4,43.7567,142,22.3,142.3717,120,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12442,12927
0017,瑞穂,ミズホ,12,A,43,44.2,43.7367,142,38.3,142.6383,289,Y,N,N,N,N,9999,99,99,,,,,,,12457,
0018,終沢,オワリザワ,12,A,43,37.8,43.6300,142,20.1,142.3350,550,Y,N,N,N,N,2004,6,30,2004/6/30,,,,,,,
0019,旭岳,アサヒダケ,12,A,43,39.7,43.6617,142,49.6,142.8267,1620,Y,N,N,N,N,2004,6,30,2004/6/30,,,,,,,
0020,白金,シロガネ,12,A,43,28.5,43.4750,142,38.9,142.6483,650,Y,N,N,N,N,9999,99,99,,,,,,,12607,
0021,富良野,フラノ,12,A,43,20,43.3333,142,24,142.4000,174,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12626,12940
0022,前富良野岳,マエフラノダケ,12,A,43,22.6,43.3767,142,34.1,142.5683,746,Y,N,N,N,N,2005,9,27,2005/9/27,,,,,,,
0023,前時雨山,マエシグレヤマ,12,A,43,11.1,43.1850,142,20.8,142.3467,380,Y,N,N,N,N,2005,9,30,2005/9/30,,,,,,,
1047,朝日,アサヒ,12,A,44,7.1,44.1183,142,35.7,142.5950,225,Y,Y,Y,Y,N,9999,99,99,,,,,,,12266,
1048,比布,ピップ,12,A,43,52.5,43.8750,142,28.8,142.4800,175,Y,Y,Y,Y,N,9999,99,99,,,,,,,12396,
1049,層雲峡,ソウウンキョウ,12,A,43,45.2,43.7533,142,55.8,142.9300,540,Y,N,N,N,Y,9999,99,99,,,,,,,12471,12930
1052,美瑛,ビエイ,12,A,43,35.3,43.5883,142,29.6,142.4933,250,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12551,12935
1055,和寒,ワッサム,12,A,44,1.7,44.0283,142,24.6,142.4100,150,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12301,12915
1184,東川,ヒガシカワ,12,A,43,42.1,43.7017,142,30.5,142.5083,215,Y,Y,Y,Y,N,9999,99,99,,,,,,,12451,
1185,志比内,シビナイ,12,A,43,38.6,43.6433,142,34.9,142.5817,310,Y,Y,Y,Y,N,9999,99,99,,2001年12月2日までの地点名「忠別」,,,,,12512,
1188,幾寅,イクトラ,12,A,43,10.1,43.1683,142,34.1,142.5683,350,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12691,12945
1189,占冠,シムカップ,12,A,42,58.7,42.9783,142,23.7,142.3950,332,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12746,12950
1190,上富良野,カミフラノ,12,A,43,27.3,43.4550,142,27.9,142.4650,220,Y,Y,Y,Y,N,9999,99,99,,,,,,,12596,
1191,江丹別,エタンベツ,12,A,43,52.2,43.8700,142,15.6,142.2600,140,Y,Y,Y,Y,N,9999,99,99,,,,,,,12386,
1197,音威子府,オトイネップ,12,A,44,43.6,44.7267,142,15.9,142.2650,40,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12041,12905
1201,中川,ナカガワ,12,A,44,49.7,44.8283,142,4.6,142.0767,22,Y,Y,Y,Y,N,9999,99,99,,,,,,,12011,
1280,麓郷,ロクゴウ,12,A,43,18.1,43.3017,142,31.3,142.5217,315,Y,Y,Y,Y,N,9999,99,99,,,,,,,12632,
1458,東神楽,ヒガシカグラ,12,A,43,40.2,43.6700,142,26.8,142.4467,211,Y,Y,Y,N,Y,9999,99,99,,,,,,,12501,12932
1570,小車,オグルマ,12,A,44,36.5,44.6083,142,17.7,142.2950,62,Y,N,N,N,N,9999,99,99,,,,,,,12066,
1572,剣淵,ケンブチ,12,A,44,6.4,44.1067,142,21.2,142.3533,138,Y,N,N,N,N,9999,99,99,,,,,,,12256,
1574,金山,カナヤマ,12,A,43,8.3,43.1383,142,25,142.4167,284,Y,N,N,N,N,9999,99,99,,,,,,,12686,
1053,幌加内,ホロカナイ,12,A,44,0.6,44.0100,142,9.6,142.1600,159,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15076,15905
1279,朱鞠内,シュマリナイ,12,A,44,16.9,44.2817,142,9.7,142.1617,255,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15041,15900
